dataId,dataId,距离（米）,小区名称,建成年代,楼栋数,总户数,区县,板块,成交均价（元）,在售均价（元）,在售套数,百度地图纬度,百度地图经度,详情页链接,地图链接,rentTotal,1室房租均价,2室房租均价,3室房租均价
5011000017233,5011000017233,570.004728139,风度国际,2005,36,743,闵行,金汇,68507,75732,18,31.173475,121.380697,http://m.sh.lianjia.com/xiaoqu/5011000017233.html,"http://m.sh.lianjia.com/map/pos?pos=121.380697,31.173475",13.0,,12750.0,17125.0
5011000009583,5011000009583,444.463931496,臻果国际,2005,1,122,闵行,金汇,69972,78511,5,31.175061,121.380678,http://m.sh.lianjia.com/xiaoqu/5011000009583.html,"http://m.sh.lianjia.com/map/pos?pos=121.380678,31.175061",3.0,7500.0,,
5011000002899,5011000002899,577.263339906,锦绣江南（五期）（公寓）,2011,4,72,闵行,金汇,74834,84221,5,31.173262,121.375202,http://m.sh.lianjia.com/xiaoqu/5011000002899.html,"http://m.sh.lianjia.com/map/pos?pos=121.375202,31.173262",2.0,,,18000.0
5011000013528,5011000013528,475.393994913,龙柏五村,1998,54,744,闵行,龙柏,58965,61099,4,31.182573,121.376074,http://m.sh.lianjia.com/xiaoqu/5011000013528.html,"http://m.sh.lianjia.com/map/pos?pos=121.376074,31.182573",10.0,,6333.33333333,2400.0
5011000010651,5011000010651,613.217679866,金悦公寓,2000,11,122,闵行,龙柏,54482,55756,3,31.182345,121.373713,http://m.sh.lianjia.com/xiaoqu/5011000010651.html,"http://m.sh.lianjia.com/map/pos?pos=121.373713,31.182345",,,,
5011000002781,5011000002781,400.352635685,新东苑国际酒店式公寓,2005,1,144,闵行,金汇,0,71161,3,31.174758,121.379649,http://m.sh.lianjia.com/xiaoqu/5011000002781.html,"http://m.sh.lianjia.com/map/pos?pos=121.379649,31.174758",1.0,7200.0,,
5011000010249,5011000010249,366.606996659,龙柏井亭公寓,2010,17,268,闵行,龙柏,41470,70767,2,31.178092,121.374526,http://m.sh.lianjia.com/xiaoqu/5011000010249.html,"http://m.sh.lianjia.com/map/pos?pos=121.374526,31.178092",7.0,4466.66666667,8500.0,8500.0
5011000012612,5011000012612,394.357261883,中祥龙柏苑,2003,9,253,闵行,龙柏,54007,58021,2,31.179675,121.374516,http://m.sh.lianjia.com/xiaoqu/5011000012612.html,"http://m.sh.lianjia.com/map/pos?pos=121.374516,31.179675",4.0,,8900.0,11100.0
5011000003287,5011000003287,603.960580253,和兴龙柏公寓,1997,3,42,闵行,龙柏,34926,54980,1,31.182638,121.374091,http://m.sh.lianjia.com/xiaoqu/5011000003287.html,"http://m.sh.lianjia.com/map/pos?pos=121.374091,31.182638",,,,
