关键词,价格区间,地址,排名方式,店铺旺旺,宝贝标题,宝贝链接,宝贝id,宝贝价格,宝贝销量,在线人数50-10000000,标题排除内容
鞋子 男,-,发货地,综合排序,华伦喜璐旗舰店,2017春季新款男士韩版英伦潮鞋子休闲鞋皮鞋透气百搭青年板鞋男鞋,https://click.simba.taobao.com/cc_im?p=%D0%AC%D7%D3%20%C4%D0&s=1757379450&k=461&e=JC%2Fs4up%2B5lH4QN56Q%2FmSe2Nrjsh3UjFE%2Fk%2FY1iHDIkOdodhKSgdYE8Q7izy804tE44zQdkuvQgJ2H3aoTdOMvveFj2gqEptwqZ9uwrdf7rS8t%2BZxnp8n7L%2FZ8RxUI0vgun348pWZYqg7TWf%2BctFe0Tgwf%2FMB8psJIT%2BlfG6267Y8qjynCHzFxCQvQYBjRmzZdKLp0NzS7HiIuj7u2mhDP6oCXlNhWoC5kuWYcFH08xElIalFwto6XHQzws%2FS4dw9%2F8mAYn%2BvAAoX1ErGnWaLE3cgLHHrYFS6yQwSZ600OuJZMF8OcdL2k%2F%2BASzC7CuR6HoOAR2XRrW4Wf7vWRMLSqWFziMNf8s0x5Km8mPwNK5v3HzeH9IZjPIETdvIz8Q4Jo9BWsx3HCd4PH8VhiA9dqM5YaM0HbgazEwDb%2FnVgsTZLG9BwntWgwa9BjV12TzrwH%2B4cpC9r27M%3D,537516245273,69.00,6157,389,
鞋子 男,-,发货地,综合排序,奥康鞋业旗舰店,奥康男鞋 新款耐磨真皮英伦低帮鞋商务休闲皮鞋子圆头系带,https://detail.tmall.com/item.htm?id=520571952285&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=17,520571952285,239.00,1409,124,
鞋子 男,-,发货地,综合排序,花花公子服饰旗舰店,花花公子男鞋子春季真皮韩版商务皮鞋青年男士休闲鞋英伦百搭潮鞋,https://detail.tmall.com/item.htm?id=537051754828&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=17,537051754828,258.00,2635,420,
鞋子 男,-,发货地,综合排序,正品dom折扣店,2017春季新款正品男士真皮英伦皮鞋韩版内增高正装商务厚底婚,https://item.taobao.com/item.htm?id=525397762536&ns=1&abbucket=17#detail,525397762536,138.00,972,107,
鞋子 男,-,发货地,综合排序,凌特鞋类专营店,春季男士驾车鞋韩版潮流豆豆鞋时尚新款软底休闲皮鞋棕色懒人,https://detail.tmall.com/item.htm?id=531656147715&ns=1&abbucket=17,531656147715,68.00,937,57,
鞋子 男,-,发货地,综合排序,回力瀚森世纪专卖店,回力帆布鞋男鞋春夏季系带低帮潮鞋子透气平底休闲鞋韩版学生板鞋,https://detail.tmall.com/item.htm?id=37263288684&ns=1&abbucket=17,37263288684,59.00,1388,73,
鞋子 男,-,发货地,综合排序,thrw旗舰店,乐福鞋男一脚蹬豆豆鞋百搭黑色休闲韩版学生老北京布鞋懒人鞋皮鞋,https://detail.tmall.com/item.htm?id=544912128904&ns=1&abbucket=17,544912128904,39.00,5614,1041,
鞋子 男,-,发货地,综合排序,狐奴旗舰店,大码男鞋45 46鞋子男春季潮鞋男士休闲韩版板鞋一脚蹬乐福鞋,https://detail.tmall.com/item.htm?id=535474869291&ns=1&abbucket=17,535474869291,158.00,794,104,
鞋子 男,-,发货地,综合排序,易玛仕旗舰店,春季英伦复古布洛克雕花男鞋子潮流休闲皮鞋男士休闲鞋板鞋潮鞋,https://detail.tmall.com/item.htm?id=527797798611&ns=1&abbucket=17,527797798611,168.00,1202,259,
鞋子 男,-,发货地,综合排序,莆田市公子哥鞋类专营店,花花公子男鞋春季男士韩版透气板鞋青年学生休闲鞋低帮百搭布鞋潮,https://detail.tmall.com/item.htm?id=545290481677&ns=1&abbucket=17,545290481677,198.00,658,165,
鞋子 男,-,发货地,综合排序,卡索卡旗舰店,春夏季透气英伦风男士商务休闲鞋小皮鞋青少年潮鞋增高潮流,https://detail.tmall.com/item.htm?id=528156969263&ns=1&abbucket=17,528156969263,78.00,293,50,
鞋子 男,-,发货地,综合排序,zwxmkk,男鞋韩版潮流男士休闲板鞋2017新款英伦皮鞋一脚蹬懒人乐福鞋,https://item.taobao.com/item.htm?id=544670577146&ns=1&abbucket=17#detail,544670577146,89.00,1211,280,
鞋子 男,-,发货地,综合排序,八哥购潮专卖店,八哥春季男鞋2017新款鞋子男韩版潮流百搭学生休闲板鞋情侣小白鞋,https://detail.tmall.com/item.htm?id=530684624760&ns=1&abbucket=17,530684624760,99.00,548,175,
鞋子 男,-,发货地,综合排序,足之岛旗舰店,足之岛松糕休闲鞋男皮鞋韩版牛皮运动透气厚底增高春季中青年鞋,https://detail.tmall.com/item.htm?id=537612762860&ns=1&abbucket=17,537612762860,368.00,169,64,
鞋子 男,-,发货地,综合排序,晨晨外贸原单鞋行,外贸原单男鞋尾单新款真皮休闲懒人一脚蹬圆头牛皮鞋尾货清仓特价,https://item.taobao.com/item.htm?id=536482974916&ns=1&abbucket=17#detail,536482974916,149.00,300,196,
鞋子 男,-,发货地,综合排序,骆驼服饰旗舰店,Camel/骆驼男鞋夏季真皮镂空皮鞋男透气休闲凉鞋牛皮中老年爸爸鞋,https://detail.tmall.com/item.htm?id=528329967616&ns=1&abbucket=17,528329967616,279.00,165,54,
鞋子 男,-,发货地,综合排序,木林森宇月专卖店,木林森男鞋春季真皮豆豆鞋男士休闲皮鞋男乐福鞋韩版懒人潮,https://detail.tmall.com/item.htm?id=532736661226&ns=1&abbucket=17,532736661226,258.00,255,52,
鞋子 男,-,发货地,综合排序,hugo315845499,春季潮男鞋子潮鞋运动鞋男士韩版潮流板鞋休闲懒人百搭英伦跑步鞋,https://item.taobao.com/item.htm?id=545301386849&ns=1&abbucket=17#detail,545301386849,158.00,473,179,
鞋子 男,-,发货地,综合排序,唯一的爱给唯一的你2012,春夏真皮透气英伦豆豆鞋男士雕花套脚休闲驾车鞋一脚蹬懒人潮,https://item.taobao.com/item.htm?id=533118476072&ns=1&abbucket=17#detail,533118476072,298.00,220,130,
鞋子 男,-,发货地,综合排序,zc仓库,正品包邮07b校尉常服三接头士官正装皮鞋男制式三节头07a军鞋真皮,https://item.taobao.com/item.htm?id=528143794249&ns=1&abbucket=17#detail,528143794249,69.00,422,53,
鞋子 男,-,发货地,综合排序,侣行中国,男鞋韩版青年复古布洛克雕花板鞋男学生2017春季皮鞋休闲鞋,https://item.taobao.com/item.htm?id=544675037004&ns=1&abbucket=17#detail,544675037004,158.00,273,112,
鞋子 男,-,发货地,综合排序,牛菲特旗舰店,2017春季皮鞋真皮豆豆鞋男英伦休闲鞋男士百搭潮鞋韩版潮流,https://detail.tmall.com/item.htm?id=545288513013&ns=1&abbucket=17,545288513013,128.00,190,155,
鞋子 男,-,发货地,综合排序,家国鞋类专营店,回力男鞋帆布鞋潮鞋懒人鞋一脚蹬男士休闲鞋老北京布鞋板鞋韩版,https://detail.tmall.com/item.htm?id=37478645465&ns=1&abbucket=17,37478645465,60.00,1772,113,
鞋子 男,-,发货地,综合排序,花路仕旗舰店,2017新款春季潮鞋男士网面运动休闲男鞋韩版潮流学生百搭英伦板鞋,https://detail.tmall.com/item.htm?id=545708002649&ns=1&abbucket=17,545708002649,59.00,942,259,
鞋子 男,-,发货地,综合排序,气质有毒,@港仔文艺男 春季日系潮运动休闲鞋布洛克男士低帮复古皮鞋时尚风,https://item.taobao.com/item.htm?id=530434692683&ns=1&abbucket=17#detail,530434692683,148.00,297,82,
鞋子 男,-,发货地,综合排序,g5conxegn旗舰店,老北京布鞋男休闲鞋帆布鞋青年防臭透气圆头系带平底2017春季鞋,https://detail.tmall.com/item.htm?id=543644571206&ns=1&abbucket=17,543644571206,69.00,947,52,
鞋子 男,-,发货地,综合排序,圣高鞋类旗舰店,网鞋男隐形内增高6CM男鞋休闲鞋跑步运动鞋网面鞋透气椰子鞋士,https://detail.tmall.com/item.htm?id=545710110673&ns=1&abbucket=17,545710110673,158.00,241,188,
鞋子 男,-,发货地,综合排序,国际品都专营店,真皮男鞋春季豆豆鞋男透气韩版潮鞋百搭休闲皮鞋一脚蹬懒人驾车鞋,https://click.simba.taobao.com/cc_im?p=%D0%AC%D7%D3%20%C4%D0&s=289025051&k=461&e=B0YQG4qii8fY2MrPe4ScUjudlAy4zGASFjQpU4SnmWRNpm2s%2BNMmUFUV5cgMrn7ddso%2BYFr0LQGrIDo3Z%2FORW%2Fk6b8pvjh5IKm1DVZdPityYi8tUka%2FQUv9vfDdR4lbHju9wUt8KzbMGom7fVqXnPdPjHQ5POiPpwUE2UEIMHLUsJ0gvlDc9G%2F%2Bptx9nCJ0MbS6u6JQJav9lgGV7kQyxyvjjeJ%2BXtdHJVeDActmdHwZpw9iY1w3BNe%2BFxNH9aOGQdwZ8OI%2F3x%2FkjJCu2L8uHF7V%2F7T6%2FhG%2FSroVTrvKLffxJfKLv8ldfxpPP0Q8GbX97dg8C1tF2Rabnh2cYccRsvAUPf30i2lwZzIUaw0xhr3jX%2BPUmxbMXA5ZrDpiRwxXo6uAL9kstNnOjpQLANrKEELcv0WonrsjVn1pW%2FW%2BrrqtjMrAJJH7acklnpuRqAdG0pFCqqxG1yOY%3D#detail,545726090755,85.00,418,130,
鞋子 男,-,发货地,综合排序,贝利鹿旗舰店,2017新款春季男鞋韩版潮流板鞋男士帆布休闲鞋百搭潮鞋白色小皮鞋,https://click.simba.taobao.com/cc_im?p=%D0%AC%D7%D3%20%C4%D0&s=289025051&k=473&e=%2FQgxLTIUkAnY2MrPe4ScUjudlAy4zGASFjQpU4SnmWRNpm2s%2BNMmUFUV5cgMrn7ddso%2BYFr0LQE6v7g3GeZ7tYWxOpkwOwk88WccFZ6LIZuYi8tUka%2FQUv9vfDdR4lbHju9wUt8KzbMGom7fVqXnPdPjHQ5POiPpwUE2UEIMHLUsJ0gvlDc9G%2F%2Bptx9nCJ0MbS6u6JQJav9lgGV7kQyxyvjjeJ%2BXtdHJAFAzHTJiff%2Be6%2F9I9%2Fa3npn3UJnq2ON6c01Yvxd6hQAVsN%2Fc%2FrYbBWsAuBSVjiN33K888eiHyNuP0kIQDJ5mNF27p6JgVWtEJdmP3tuXwX4JC8P1wzCRtYdODDi3JrKxtc9Cc2Y4pDxhsIDCYQCA0o%2B3QvvSfkwYKFfsinHSUHK6GyoS21c2Vn%2BhxtT9m6P7wsvZyfT%2FA8qyKvS6y6b8OYVNs4TO2TOOrJZ%2F84i2hqSpj2dYvOIfKA%3D%3D,543384056515,59.00,1818,1094,
鞋子 男,-,发货地,综合排序,衫仟尺旗舰店,衫仟尺中国风男鞋秋季新款民族风运动休闲鞋中式古装复古舒适板鞋,https://detail.tmall.com/item.htm?id=536950930836&ns=1&abbucket=17,536950930836,398.00,99,97,
鞋子 男,-,发货地,综合排序,南伦旗舰店,男鞋春季潮鞋2017新款透气跑步鞋套脚休闲鞋轻便真皮韩版运动鞋,https://detail.tmall.com/item.htm?id=544343257784&ns=1&abbucket=17,544343257784,199.00,406,440,
鞋子 男,-,发货地,综合排序,土豆妞1988,春季英伦男鞋真皮乐福鞋男一脚蹬懒人鞋男士透气休闲板鞋韩版潮鞋,https://item.taobao.com/item.htm?id=537084192360&ns=1&abbucket=17#detail,537084192360,298.00,174,95,
鞋子 男,-,发货地,综合排序,朗峻旗舰店,春秋季新品男鞋韩版男士运动休闲鞋潮流百搭板鞋跑步气垫鞋潮,https://detail.tmall.com/item.htm?id=543661286865&ns=1&abbucket=17,543661286865,55.00,370,339,
鞋子 男,-,发货地,综合排序,温温柔柔94,男鞋春季潮鞋2017新款韩版百搭运动休闲潮流英伦鞋子透气学生潮,https://item.taobao.com/item.htm?id=545725239754&ns=1&abbucket=17#detail,545725239754,108.00,304,224,
鞋子 男,-,发货地,综合排序,木林森男鞋旗舰店,木林森2017春季男鞋男士运动鞋男跑步鞋韩版青年休闲鞋学生潮,https://detail.tmall.com/item.htm?id=543616665455&ns=1&abbucket=17,543616665455,218.00,258,51,
鞋子 男,-,发货地,综合排序,淋啊贝,林弯弯鞋子日系圆头冬小皮鞋男韩版潮英伦复古学生情侣百搭休闲鞋,https://item.taobao.com/item.htm?id=544530232604&ns=1&abbucket=17#detail,544530232604,79.99,225,92,
